"","568_4","568_5","581_5","611_5","E05_5","E1_4","E1_5","E2_4","E2_5","E3_4","E3_5"
"ASV_398",0,0,0,0,6,0,0,2,8,3,2
"ASV_84",0,5,8,6,11,0,28,9,21,0,12
"ASV_1055",0,0,0,0,3,0,0,0,0,0,0
"ASV_1482",0,0,0,0,0,0,0,0,0,0,2
"ASV_599",0,0,0,0,2,0,3,0,4,0,3
"ASV_119",0,12,12,5,23,0,15,0,4,0,6
"ASV_1254",0,0,0,0,2,0,0,0,0,0,0
"ASV_1020",0,0,0,0,0,0,0,0,0,0,6
"ASV_343",0,0,5,0,0,0,6,3,11,0,0
"ASV_1603",0,0,0,0,0,0,0,0,1,0,0
"ASV_1583",0,0,0,0,1,0,0,0,0,0,0
"ASV_1403",0,0,0,0,0,0,0,0,0,0,2
"ASV_302",0,2,1,4,5,0,2,4,7,0,5
"ASV_1406",0,0,0,0,0,0,0,0,0,0,2
"ASV_838",0,0,4,0,0,0,5,0,0,0,0
"ASV_723",0,0,0,0,3,0,0,0,4,0,0
"ASV_965",0,0,0,0,0,0,0,0,0,0,5
"ASV_1723",0,0,0,0,0,0,1,0,0,0,0
"ASV_948",0,0,0,0,0,0,4,0,1,0,0
"ASV_994",0,0,0,0,0,0,0,0,4,0,0
"ASV_261",0,9,0,0,13,0,14,0,0,0,0
"ASV_395",0,0,6,0,0,0,0,7,8,0,0
"ASV_512",0,0,0,0,10,0,0,0,0,0,0
"ASV_627",0,0,0,0,2,0,4,0,4,0,0
"ASV_1157",0,0,0,0,0,0,0,0,0,0,4
"ASV_765",0,0,0,0,0,0,0,3,3,0,0
"ASV_1202",0,0,0,0,2,0,0,0,0,0,0
"ASV_944",0,0,0,0,2,0,0,0,0,0,3
"ASV_413",0,0,4,11,0,0,0,0,3,0,9
"ASV_1396",0,0,0,0,0,0,2,0,0,0,0
"ASV_1449",0,0,0,0,1,0,0,0,0,0,0
"ASV_1422",0,0,3,0,0,0,0,0,0,0,0
"ASV_549",0,2,5,0,0,0,2,0,4,4,3
