	OTU	Sample	Abundance	names	host_species	gut_section	region	location	year	month	day	sample_lab	Time	SL..mm.	FL..mm.	TW..g.	GW..g.	Sex	Sample_or_Control	input	filtered	denoisedF	denoisedR	merged	nochim	perc_reads_retained	Kingdom	Phylum	Class	Order
4	ASV_4	E2_4	0.460252809	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
22	ASV_9	E2_4	0.115589888	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacillota	Clostridia	Lachnospirales
23	ASV_16	E2_4	0.103370787	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
31	ASV_2	E2_4	0.073455056	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
43	ASV_1	E2_4	0.049297753	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
45	ASV_12	E2_4	0.04747191	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
52	ASV_35	E2_4	0.039325843	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacillota	Clostridia	Oscillospirales
69	ASV_11	E2_4	0.025280899	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacillota	Clostridia	Clostridiales
90	ASV_14	E2_4	0.017837079	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Pseudomonadota	GammaPseudomonadota	Enterobacterales
102	ASV_153	E2_4	0.015589888	E2_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	North Direction Island	2011	3	18	S142	10:30	NA	NA	NA	575	F	Sample	87227	40995	40583	40479	39686	39332	45.09154276	Bacteria	Bacillota	Clostridia	Christensenellales
3	ASV_16	E2_5	0.524166196	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
24	ASV_12	E2_5	0.102176371	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales
32	ASV_4	E2_5	0.071226682	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
38	ASV_28	E2_5	0.058790277	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
55	ASV_35	E2_5	0.036743923	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Bacillota	Clostridia	Oscillospirales
61	ASV_26	E2_5	0.03250424	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41
64	ASV_17	E2_5	0.028829847	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41
76	ASV_171	E2_5	0.022470322	E2_5	Pomacanthus sexstriatus	V	Great Barrier Reef	North Direction Island	2011	3	18	S143	10:30	NA	NA	NA	575	F	Sample	79090	37948	37479	37517	36730	36657	46.34846378	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales
